"english","french"
"Afghanistan","Afghanistan"
"Albania","Albanie"
"Algeria","Algérie"
"American Samoa","American Samoa"
"Andorra","Andorre"
"Angola","Angola"
"Anguilla","Anguilla"
"Antigua and Barbuda","Antigua et Barbuda"
"Argentina","Argentine"
"Armenia","Arménie"
"Aruba","Aruba"
"Australia","Australia"
"Austria","Autriche"
"Azerbaijan","Azerbaïdjan"
"Bahamas","Bahamas"
"Bahrain","Bahreïn"
"Bangladesh","Bangladesh"
"Barbados","Barbade"
"Belarus","Biélorussie"
"Belgium","Belgique"
"Belize","Belize"
"Benin","Bénin"
"Bermuda","Bermudes"
"Bhutan","Bhoutan"
"Bolivia","Bolivie"
"Bosnia and Herzegovina","Bosnie-Herzégovine"
"Botswana","Botswana"
"Brazil","Brésil"
"British Virgin Islands","Iles Vierges Britanniques"
"Brunei","Brunei"
"Bulgaria","Bulgarie"
"Burkina Faso","Burkina Faso"
"Burundi","Burundi"
"Cambodia","Cambodge"
"Cameroon","Cameroun"
"Canada","Canada"
"Cape Verde","Cap Vert"
"Cayman Islands","Iles Caïmans"
"Central African Republic","République centrafricaine"
"Chad","Tchad"
"Chile","Chili"
"China","Chine"
"Christmas Island","Christmas Island"
"Cocos Keeling Islands","Iles Cocos Keeling"
"Colombia","Colombie"
"Comoros","Comores"
"Cook Islands","Îles Cook"
"Costa Rica","Costa Rica"
"Croatia","Croatie"
"Cuba","Cuba"
"Curacao","Curaçao"
"Cyprus","Chypre"
"Czech Republic","République tchèque"
"Democratic Republic of the Congo","République démocratique du Congo"
"Denmark","Danemark"
"Djibouti","Djibouti"
"Dominica","Dominique"
"Dominican Republic","République Dominicaine"
"East Timor","Timor oriental"
"Ecuador","Equateur"
"Egypt","Egypte"
"El Salvador","El Salvador"
"Equatorial Guinea","Guinée équatoriale"
"Eritrea","Erythrée"
"Estonia","Estonie"
"Ethiopia","Ethiopie"
"Falkland Islands","Îles Falkland"
"Faroe Islands","Îles Féroé"
"Fiji","Fidji"
"Finland","Finlande"
"France","France"
"French Guiana","Guyane française"
"French Polynesia","Polynésie française"
"Gabon","Gabon"
"Gambia","Gambie"
"Gaza Strip","Bande de Gaza"
"Georgia","Géorgie"
"Germany","Allemagne"
"Ghana","Ghana"
"Gibraltar","Gibraltar"
"Greece","Grèce"
"Greenland","Groenland"
"Grenada","Grenade"
"Guadeloupe","Guadeloupe"
"Guam","Guam"
"Guatemala","Guatemala"
"Guernsey","Guernesey"
"Guinea","Guinée"
"Guinea-Bissau","Guinée-Bissau"
"Guyana","Guyane"
"Haiti","Haïti"
"Honduras","Honduras"
"Hong Kong","Hong Kong"
"Hungary","Hongrie"
"Iceland","Islande"
"India","Inde"
"Indonesia","Indonésie"
"Iran","Iran"
"Iraq","Irak"
"Ireland","Irlande"
"Isle of Man","Isle of Man"
"Israel","Israël"
"Italy","Italie"
"Ivory Coast","Côte-d'Ivoire"
"Jamaica","Jamaïque"
"Japan","Japon"
"Jersey","Jersey"
"Jordan","Jordanie"
"Kazakhstan","Kazakhstan"
"Kenya","Kenya"
"Kiribati","Kiribati"
"Kosovo","Kosovo"
"Kuwait","Koweït"
"Kyrgyzstan","Kirghizistan"
"Laos","Laos"
"Latvia","Lettonie"
"Lebanon","Liban"
"Lesotho","Lesotho"
"Liberia","Libéria"
"Libya","Libye"
"Liechtenstein","Liechtenstein"
"Lithuania","Lituanie"
"Luxembourg","Luxembourg"
"Macau","Macao"
"Macedonia","Macédoine"
"Madagascar","Madagascar"
"Malawi","Malawi"
"Malaysia","Malaisie"
"Maldives","Maldives"
"Mali","Mali"
"Malta","Malte"
"Marshall Islands","Îles Marshall"
"Martinique","Martinique"
"Mauritania","Mauritanie"
"Mauritius","Maurice"
"Mayotte","Mayotte"
"Mexico","Mexique"
"Micronesia","Micronésie"
"Moldova","Moldova"
"Monaco","Monaco"
"Mongolia","Mongolie"
"Montenegro","Monténégro"
"Montserrat","Montserrat"
"Morocco","Maroc"
"Mozambique","Mozambique"
"Myanmar","Myanmar"
"Namibia","Namibie"
"Nauru","Nauru"
"Nepal","Népal"
"Netherlands","Pays Bas"
"New Caledonia","Nouvelle-Calédonie"
"New Zealand","Nouvelle Zélande"
"Nicaragua","Nicaragua"
"Niger","Niger"
"Nigeria","Nigeria"
"Niue","Nioué"
"Norfolk Island","Norfolk Island"
"Northern Mariana Islands","Îles Mariannes du Nord"
"North Korea","Corée du Nord"
"Norway","Norvège"
"Oman","Oman"
"Pakistan","Pakistan"
"Palau","Palau"
"Panama","Panama"
"Papua New Guinea","Papouasie-Nouvelle-Guinée"
"Paraguay","Paraguay"
"Peru","Pérou"
"Philippines","Philippines"
"Pitcairn Islands","Iles Pitcairn"
"Poland","Pologne"
"Portugal","Portugal"
"PuertoRico","PuertoRico"
"Qatar","Qatar"
"Republic Congo","République du Congo"
"Reunion","Réunion"
"Romania","Roumanie"
"Russia","Russie"
"Rwanda","Rwanda"
"Saint Helena","Sainte-Hélène"
"Saint Kitts Nevis","Saint-Kitts-Nevis"
"Saint Lucia","Saint Lucia"
"Saint Pierre Miquelon","Saint Pierre et Miquelon"
"Saint Vincent Grenadines","Saint-Vincent-Grenadines"
"Samoa","Samoa"
"San Marino","San Marino"
"Sao Tome Principe","Sao Tomé Principe"
"Saudi Arabia","Arabie saoudite"
"Senegal","Sénégal"
"Serbia","Serbie"
"Seychelles","Seychelles"
"Sierra Leone","Sierra Leone"
"Singapore","Singapour"
"Sint Maarten","Sint Maarten"
"Slovakia","Slovaquie"
"Slovenia","Slovénie"
"Solomon Islands","Iles Salomon"
"Somalia","Somalie"
"South Africa","Afrique du Sud"
"South Korea","Corée du Sud"
"South Sudan","Sud-Soudan"
"Spain","Espagne"
"Sri Lanka","Sri Lanka"
"Sudan","Soudan"
"Suriname","Suriname"
"Svalbard","Svalbard"
"Swaziland","Swaziland"
"Sweden","Suède"
"Switzerland","Suisse"
"Syria","Syrie"
"Taiwan","Taiwan"
"Tajikistan","Tadjikistan"
"Tanzania","Tanzanie"
"Thailand","Thaïlande"
"Togo","Togo"
"Tokelau","Tokelau"
"Tonga","Tonga"
"Trinidad Tobago","Trinidad et Tobago"
"Tunisia","Tunisie"
"Turkey","Turquie"
"Turkmenistan","Turkménistan"
"Turks Caicos Islands","Îles Turks et Caicos"
"Tuvalu","Tuvalu"
"Uganda","Ouganda"
"Ukraine","Ukraine"
"United Arab Emirates","Emirats Arabes Unis"
"United Kingdom","Royaume-Uni"
"United States","Etats-Unis"
"United States Virgin Islands","États-Unis Îles Vierges"
"Uruguay","Uruguay"
"Uzbekistan","Ouzbékistan"
"Vanuatu","Vanuatu"
"Vatican City","Cité du Vatican"
"Venezuela","Venezuela"
"Vietnam","Vietnam"
"Wallis Futuna","Wallis et Futuna"
"West Bank","Cisjordanie"
"Western Sahara","Sahara occidental"
"Yemen","Yémen"
"Zambia","Zambie"
"Zimbabwe","Zimbabwe"
